country,year,pegged,member_of_currency_union
ALB,2017,FALSE,FALSE
ALB,2018,FALSE,FALSE
ALB,2019,FALSE,FALSE
ALB,2020,FALSE,FALSE
ALB,2021,FALSE,FALSE
ALB,2022,FALSE,FALSE
ALB,2023,FALSE,FALSE
ARE,1997,TRUE,FALSE
ARE,1998,TRUE,FALSE
ARE,1999,TRUE,FALSE
ARE,2000,TRUE,FALSE
ARE,2001,TRUE,FALSE
ARE,2002,TRUE,FALSE
ARE,2003,TRUE,FALSE
ARE,2004,TRUE,FALSE
ARE,2005,TRUE,FALSE
ARE,2006,TRUE,FALSE
ARE,2007,TRUE,FALSE
ARE,2008,TRUE,FALSE
ARE,2009,TRUE,FALSE
ARE,2010,TRUE,FALSE
ARE,2011,TRUE,FALSE
ARE,2012,TRUE,FALSE
ARE,2013,TRUE,FALSE
ARE,2014,TRUE,FALSE
ARE,2015,TRUE,FALSE
ARE,2016,TRUE,FALSE
ARE,2017,TRUE,FALSE
ARE,2018,TRUE,FALSE
ARE,2019,TRUE,FALSE
ARE,2020,TRUE,FALSE
ARE,2021,TRUE,FALSE
ARE,2022,TRUE,FALSE
ARE,2023,TRUE,FALSE
ARG,1997,FALSE,FALSE
ARG,1998,FALSE,FALSE
ARG,1999,FALSE,FALSE
ARG,2000,FALSE,FALSE
ARG,2001,FALSE,FALSE
ARG,2002,FALSE,FALSE
ARG,2003,FALSE,FALSE
ARG,2004,FALSE,FALSE
ARG,2005,FALSE,FALSE
ARG,2006,FALSE,FALSE
ARG,2007,FALSE,FALSE
ARG,2008,FALSE,FALSE
ARG,2009,FALSE,FALSE
ARG,2010,FALSE,FALSE
ARG,2011,FALSE,FALSE
ARG,2012,FALSE,FALSE
ARG,2013,FALSE,FALSE
ARG,2014,FALSE,FALSE
ARG,2015,FALSE,FALSE
ARG,2016,FALSE,FALSE
ARG,2017,FALSE,FALSE
ARG,2018,FALSE,FALSE
ARG,2019,FALSE,FALSE
ARG,2020,FALSE,FALSE
ARG,2021,FALSE,FALSE
ARG,2022,FALSE,FALSE
ARG,2023,FALSE,FALSE
ARM,1997,FALSE,FALSE
ARM,1998,FALSE,FALSE
ARM,1999,FALSE,FALSE
ARM,2000,FALSE,FALSE
ARM,2001,FALSE,FALSE
ARM,2002,FALSE,FALSE
ARM,2003,FALSE,FALSE
ARM,2004,FALSE,FALSE
ARM,2005,FALSE,FALSE
ARM,2006,FALSE,FALSE
ARM,2007,FALSE,FALSE
ARM,2008,FALSE,FALSE
ARM,2009,FALSE,FALSE
ARM,2010,FALSE,FALSE
ARM,2011,FALSE,FALSE
ARM,2012,FALSE,FALSE
ARM,2013,FALSE,FALSE
ARM,2014,FALSE,FALSE
ARM,2015,FALSE,FALSE
ARM,2016,FALSE,FALSE
ARM,2017,FALSE,FALSE
ARM,2018,FALSE,FALSE
ARM,2019,FALSE,FALSE
ARM,2020,FALSE,FALSE
ARM,2021,FALSE,FALSE
ARM,2022,FALSE,FALSE
ARM,2023,FALSE,FALSE
ATG,1997,TRUE,TRUE
ATG,1998,TRUE,TRUE
ATG,1999,TRUE,TRUE
ATG,2000,TRUE,TRUE
ATG,2001,TRUE,TRUE
ATG,2002,TRUE,TRUE
ATG,2003,TRUE,TRUE
ATG,2004,TRUE,TRUE
ATG,2005,TRUE,TRUE
ATG,2006,TRUE,TRUE
ATG,2007,TRUE,TRUE
ATG,2008,TRUE,TRUE
ATG,2009,TRUE,TRUE
ATG,2010,TRUE,TRUE
ATG,2011,TRUE,TRUE
ATG,2012,TRUE,TRUE
ATG,2013,TRUE,TRUE
ATG,2014,TRUE,TRUE
ATG,2015,TRUE,TRUE
ATG,2016,TRUE,TRUE
ATG,2017,TRUE,TRUE
ATG,2018,TRUE,TRUE
ATG,2019,TRUE,TRUE
ATG,2020,TRUE,TRUE
ATG,2021,TRUE,TRUE
ATG,2022,TRUE,TRUE
ATG,2023,TRUE,TRUE
AUS,1997,FALSE,FALSE
AUS,1998,FALSE,FALSE
AUS,1999,FALSE,FALSE
AUS,2000,FALSE,FALSE
AUS,2001,FALSE,FALSE
AUS,2002,FALSE,FALSE
AUS,2003,FALSE,FALSE
AUS,2004,FALSE,FALSE
AUS,2005,FALSE,FALSE
AUS,2006,FALSE,FALSE
AUS,2007,FALSE,FALSE
AUS,2008,FALSE,FALSE
AUS,2009,FALSE,FALSE
AUS,2010,FALSE,FALSE
AUS,2011,FALSE,FALSE
AUS,2012,FALSE,FALSE
AUS,2013,FALSE,FALSE
AUS,2014,FALSE,FALSE
AUS,2015,FALSE,FALSE
AUS,2016,FALSE,FALSE
AUS,2017,FALSE,FALSE
AUS,2018,FALSE,FALSE
AUS,2019,FALSE,FALSE
AUS,2020,FALSE,FALSE
AUS,2021,FALSE,FALSE
AUS,2022,FALSE,FALSE
AUS,2023,FALSE,FALSE
AUT,1997,FALSE,FALSE
AUT,1998,FALSE,TRUE
AUT,1999,FALSE,TRUE
AUT,2000,FALSE,TRUE
AUT,2001,FALSE,TRUE
AUT,2002,FALSE,TRUE
AUT,2003,FALSE,TRUE
AUT,2004,FALSE,TRUE
AUT,2005,FALSE,TRUE
AUT,2006,FALSE,TRUE
AUT,2007,FALSE,TRUE
AUT,2008,FALSE,TRUE
AUT,2009,FALSE,TRUE
AUT,2010,FALSE,TRUE
AUT,2011,FALSE,TRUE
AUT,2012,FALSE,TRUE
AUT,2013,FALSE,TRUE
AUT,2014,FALSE,TRUE
AUT,2015,FALSE,TRUE
AUT,2016,FALSE,TRUE
AUT,2017,FALSE,TRUE
AUT,2018,FALSE,TRUE
AUT,2019,FALSE,TRUE
AUT,2020,FALSE,TRUE
AUT,2021,FALSE,TRUE
AUT,2022,FALSE,TRUE
AUT,2023,FALSE,TRUE
AZE,1997,FALSE,FALSE
AZE,1998,FALSE,FALSE
AZE,1999,FALSE,FALSE
AZE,2000,FALSE,FALSE
AZE,2001,FALSE,FALSE
AZE,2002,FALSE,FALSE
AZE,2003,FALSE,FALSE
AZE,2004,FALSE,FALSE
AZE,2005,TRUE,FALSE
AZE,2006,FALSE,FALSE
AZE,2007,FALSE,FALSE
AZE,2008,FALSE,FALSE
AZE,2009,FALSE,FALSE
AZE,2010,FALSE,FALSE
AZE,2011,FALSE,FALSE
AZE,2012,FALSE,FALSE
AZE,2013,FALSE,FALSE
AZE,2014,FALSE,FALSE
AZE,2015,FALSE,FALSE
AZE,2016,FALSE,FALSE
AZE,2017,FALSE,FALSE
AZE,2018,FALSE,FALSE
AZE,2019,FALSE,FALSE
AZE,2020,FALSE,FALSE
AZE,2021,FALSE,FALSE
AZE,2022,FALSE,FALSE
AZE,2023,FALSE,FALSE
BDI,1997,FALSE,FALSE
BDI,1998,FALSE,FALSE
BDI,1999,FALSE,FALSE
BDI,2000,FALSE,FALSE
BDI,2001,FALSE,FALSE
BDI,2002,FALSE,FALSE
BDI,2003,FALSE,FALSE
BDI,2004,FALSE,FALSE
BDI,2005,FALSE,FALSE
BDI,2006,FALSE,FALSE
BDI,2007,FALSE,FALSE
BDI,2008,FALSE,FALSE
BDI,2009,FALSE,FALSE
BDI,2010,FALSE,FALSE
BDI,2011,FALSE,FALSE
BDI,2012,FALSE,FALSE
BDI,2013,FALSE,FALSE
BDI,2014,FALSE,FALSE
BDI,2015,FALSE,FALSE
BDI,2016,FALSE,FALSE
BDI,2017,FALSE,FALSE
BDI,2018,FALSE,FALSE
BDI,2019,FALSE,FALSE
BDI,2020,FALSE,FALSE
BDI,2021,FALSE,FALSE
BDI,2022,FALSE,FALSE
BDI,2023,FALSE,FALSE
BEL,1997,FALSE,FALSE
BEL,1998,FALSE,TRUE
BEL,1999,FALSE,TRUE
BEL,2000,FALSE,TRUE
BEL,2001,FALSE,TRUE
BEL,2002,FALSE,TRUE
BEL,2003,FALSE,TRUE
BEL,2004,FALSE,TRUE
BEL,2005,FALSE,TRUE
BEL,2006,FALSE,TRUE
BEL,2007,FALSE,TRUE
BEL,2008,FALSE,TRUE
BEL,2009,FALSE,TRUE
BEL,2010,FALSE,TRUE
BEL,2011,FALSE,TRUE
BEL,2012,FALSE,TRUE
BEL,2013,FALSE,TRUE
BEL,2014,FALSE,TRUE
BEL,2015,FALSE,TRUE
BEL,2016,FALSE,TRUE
BEL,2017,FALSE,TRUE
BEL,2018,FALSE,TRUE
BEL,2019,FALSE,TRUE
BEL,2020,FALSE,TRUE
BEL,2021,FALSE,TRUE
BEL,2022,FALSE,TRUE
BEL,2023,FALSE,TRUE
BEN,1997,TRUE,TRUE
BEN,1998,TRUE,TRUE
BEN,1999,TRUE,TRUE
BEN,2000,TRUE,TRUE
BEN,2001,TRUE,TRUE
BEN,2002,TRUE,TRUE
BEN,2003,TRUE,TRUE
BEN,2004,TRUE,TRUE
BEN,2005,TRUE,TRUE
BEN,2006,TRUE,TRUE
BEN,2007,TRUE,TRUE
BEN,2008,TRUE,TRUE
BEN,2009,TRUE,TRUE
BEN,2010,TRUE,TRUE
BEN,2011,TRUE,TRUE
BEN,2012,TRUE,TRUE
BEN,2013,TRUE,TRUE
BEN,2014,TRUE,TRUE
BEN,2015,TRUE,TRUE
BEN,2016,TRUE,TRUE
BEN,2017,TRUE,TRUE
BEN,2018,TRUE,TRUE
BEN,2019,TRUE,TRUE
BEN,2020,TRUE,TRUE
BEN,2021,TRUE,TRUE
BEN,2022,TRUE,TRUE
BEN,2023,TRUE,TRUE
BFA,1997,TRUE,TRUE
BFA,1998,TRUE,TRUE
BFA,1999,TRUE,TRUE
BFA,2000,TRUE,TRUE
BFA,2001,TRUE,TRUE
BFA,2002,TRUE,TRUE
BFA,2003,TRUE,TRUE
BFA,2004,TRUE,TRUE
BFA,2005,TRUE,TRUE
BFA,2006,TRUE,TRUE
BFA,2007,TRUE,TRUE
BFA,2008,TRUE,TRUE
BFA,2009,TRUE,TRUE
BFA,2010,TRUE,TRUE
BFA,2011,TRUE,TRUE
BFA,2012,TRUE,TRUE
BFA,2013,TRUE,TRUE
BFA,2014,TRUE,TRUE
BFA,2015,TRUE,TRUE
BFA,2016,TRUE,TRUE
BFA,2017,TRUE,TRUE
BFA,2018,TRUE,TRUE
BFA,2019,TRUE,TRUE
BFA,2020,TRUE,TRUE
BFA,2021,TRUE,TRUE
BFA,2022,TRUE,TRUE
BFA,2023,TRUE,TRUE
BGD,1997,FALSE,FALSE
BGD,1998,FALSE,FALSE
BGD,1999,FALSE,FALSE
BGD,2000,FALSE,FALSE
BGD,2001,TRUE,FALSE
BGD,2002,TRUE,FALSE
BGD,2003,FALSE,FALSE
BGD,2004,FALSE,FALSE
BGD,2005,FALSE,FALSE
BGD,2006,FALSE,FALSE
BGD,2007,FALSE,FALSE
BGD,2008,FALSE,FALSE
BGD,2009,FALSE,FALSE
BGD,2010,FALSE,FALSE
BGD,2011,FALSE,FALSE
BGD,2012,FALSE,FALSE
BGD,2013,FALSE,FALSE
BGD,2014,FALSE,FALSE
BGD,2015,FALSE,FALSE
BGD,2016,FALSE,FALSE
BGD,2017,FALSE,FALSE
BGD,2018,FALSE,FALSE
BGD,2019,FALSE,FALSE
BGD,2020,FALSE,FALSE
BGD,2021,FALSE,FALSE
BGD,2022,FALSE,FALSE
BGD,2023,FALSE,FALSE
BGR,1997,TRUE,FALSE
BGR,1998,TRUE,FALSE
BGR,1999,TRUE,FALSE
BGR,2000,TRUE,FALSE
BGR,2001,TRUE,FALSE
BGR,2002,TRUE,FALSE
BGR,2003,TRUE,FALSE
BGR,2004,TRUE,FALSE
BGR,2005,TRUE,FALSE
BGR,2006,TRUE,FALSE
BGR,2007,TRUE,FALSE
BGR,2008,TRUE,FALSE
BGR,2009,TRUE,FALSE
BGR,2010,TRUE,FALSE
BGR,2011,TRUE,FALSE
BGR,2012,TRUE,FALSE
BGR,2013,TRUE,FALSE
BGR,2014,TRUE,FALSE
BGR,2015,TRUE,FALSE
BGR,2016,TRUE,FALSE
BGR,2017,TRUE,FALSE
BGR,2018,TRUE,FALSE
BGR,2019,TRUE,FALSE
BGR,2020,TRUE,FALSE
BGR,2021,TRUE,FALSE
BGR,2022,TRUE,FALSE
BGR,2023,TRUE,FALSE
BHR,1997,TRUE,FALSE
BHR,1998,TRUE,FALSE
BHR,1999,TRUE,FALSE
BHR,2000,TRUE,FALSE
BHR,2001,TRUE,FALSE
BHR,2002,TRUE,FALSE
BHR,2003,TRUE,FALSE
BHR,2004,TRUE,FALSE
BHR,2005,TRUE,FALSE
BHR,2006,TRUE,FALSE
BHR,2007,TRUE,FALSE
BHR,2008,TRUE,FALSE
BHR,2009,TRUE,FALSE
BHR,2010,TRUE,FALSE
BHR,2011,TRUE,FALSE
BHR,2012,TRUE,FALSE
BHR,2013,TRUE,FALSE
BHR,2014,TRUE,FALSE
BHR,2015,TRUE,FALSE
BHR,2016,TRUE,FALSE
BHR,2017,TRUE,FALSE
BHR,2018,TRUE,FALSE
BHR,2019,TRUE,FALSE
BHR,2020,TRUE,FALSE
BHR,2021,TRUE,FALSE
BHR,2022,TRUE,FALSE
BHR,2023,TRUE,FALSE
BHS,1997,TRUE,FALSE
BHS,1998,TRUE,FALSE
BHS,1999,TRUE,FALSE
BHS,2000,TRUE,FALSE
BHS,2001,TRUE,FALSE
BHS,2002,TRUE,FALSE
BHS,2003,TRUE,FALSE
BHS,2004,TRUE,FALSE
BHS,2005,TRUE,FALSE
BHS,2006,TRUE,FALSE
BHS,2007,TRUE,FALSE
BHS,2008,TRUE,FALSE
BHS,2009,TRUE,FALSE
BHS,2010,TRUE,FALSE
BHS,2011,TRUE,FALSE
BHS,2012,TRUE,FALSE
BHS,2013,TRUE,FALSE
BHS,2014,TRUE,FALSE
BHS,2015,TRUE,FALSE
BHS,2016,TRUE,FALSE
BHS,2017,TRUE,FALSE
BHS,2018,TRUE,FALSE
BHS,2019,TRUE,FALSE
BHS,2020,TRUE,FALSE
BHS,2021,TRUE,FALSE
BHS,2022,TRUE,FALSE
BHS,2023,TRUE,FALSE
BIH,1997,TRUE,FALSE
BIH,1998,TRUE,FALSE
BIH,1999,TRUE,FALSE
BIH,2000,TRUE,FALSE
BIH,2001,TRUE,FALSE
BIH,2002,TRUE,FALSE
BIH,2003,TRUE,FALSE
BIH,2004,TRUE,FALSE
BIH,2005,TRUE,FALSE
BIH,2006,TRUE,FALSE
BIH,2007,TRUE,FALSE
BIH,2008,TRUE,FALSE
BIH,2009,TRUE,FALSE
BIH,2010,TRUE,FALSE
BIH,2011,TRUE,FALSE
BIH,2012,TRUE,FALSE
BIH,2013,TRUE,FALSE
BIH,2014,TRUE,FALSE
BIH,2015,TRUE,FALSE
BIH,2016,TRUE,FALSE
BIH,2017,TRUE,FALSE
BIH,2018,TRUE,FALSE
BIH,2019,TRUE,FALSE
BIH,2020,TRUE,FALSE
BIH,2021,TRUE,FALSE
BIH,2022,TRUE,FALSE
BIH,2023,TRUE,FALSE
BLR,1997,FALSE,FALSE
BLR,1998,FALSE,FALSE
BLR,1999,FALSE,FALSE
BLR,2000,FALSE,FALSE
BLR,2001,FALSE,FALSE
BLR,2002,FALSE,FALSE
BLR,2003,FALSE,FALSE
BLR,2004,FALSE,FALSE
BLR,2005,FALSE,FALSE
BLR,2006,FALSE,FALSE
BLR,2007,FALSE,FALSE
BLR,2008,FALSE,FALSE
BLR,2009,FALSE,FALSE
BLR,2010,FALSE,FALSE
BLR,2011,FALSE,FALSE
BLR,2012,FALSE,FALSE
BLR,2013,FALSE,FALSE
BLR,2014,FALSE,FALSE
BLR,2015,FALSE,FALSE
BLR,2016,FALSE,FALSE
BLR,2017,FALSE,FALSE
BLR,2018,FALSE,FALSE
BLR,2019,FALSE,FALSE
BLR,2020,FALSE,FALSE
BLR,2021,FALSE,FALSE
BLR,2022,FALSE,FALSE
BLR,2023,FALSE,FALSE
BLZ,1997,TRUE,FALSE
BLZ,1998,TRUE,FALSE
BLZ,1999,TRUE,FALSE
BLZ,2000,TRUE,FALSE
BLZ,2001,TRUE,FALSE
BLZ,2002,TRUE,FALSE
BLZ,2003,TRUE,FALSE
BLZ,2004,TRUE,FALSE
BLZ,2005,TRUE,FALSE
BLZ,2006,TRUE,FALSE
BLZ,2007,TRUE,FALSE
BLZ,2008,TRUE,FALSE
BLZ,2009,TRUE,FALSE
BLZ,2010,TRUE,FALSE
BLZ,2011,TRUE,FALSE
BLZ,2012,TRUE,FALSE
BLZ,2013,TRUE,FALSE
BLZ,2014,TRUE,FALSE
BLZ,2015,TRUE,FALSE
BLZ,2016,TRUE,FALSE
BLZ,2017,TRUE,FALSE
BLZ,2018,TRUE,FALSE
BLZ,2019,TRUE,FALSE
BLZ,2020,TRUE,FALSE
BLZ,2021,TRUE,FALSE
BLZ,2022,TRUE,FALSE
BLZ,2023,TRUE,FALSE
BMU,1997,FALSE,FALSE
BMU,1998,FALSE,FALSE
BMU,1999,FALSE,FALSE
BMU,2000,FALSE,FALSE
BMU,2001,FALSE,FALSE
BMU,2002,FALSE,FALSE
BMU,2003,FALSE,FALSE
BMU,2004,FALSE,FALSE
BMU,2005,FALSE,FALSE
BMU,2006,FALSE,FALSE
BMU,2007,FALSE,FALSE
BMU,2008,FALSE,FALSE
BMU,2009,FALSE,FALSE
BMU,2010,FALSE,FALSE
BMU,2011,FALSE,FALSE
BMU,2012,FALSE,FALSE
BMU,2013,FALSE,FALSE
BMU,2014,FALSE,FALSE
BMU,2015,FALSE,FALSE
BMU,2016,FALSE,FALSE
BMU,2017,FALSE,FALSE
BMU,2018,FALSE,FALSE
BMU,2019,FALSE,FALSE
BMU,2020,FALSE,FALSE
BMU,2021,FALSE,FALSE
BMU,2022,FALSE,FALSE
BMU,2023,FALSE,FALSE
BOL,1997,FALSE,FALSE
BOL,1998,FALSE,FALSE
BOL,1999,FALSE,FALSE
BOL,2000,FALSE,FALSE
BOL,2001,FALSE,FALSE
BOL,2002,FALSE,FALSE
BOL,2003,FALSE,FALSE
BOL,2004,FALSE,FALSE
BOL,2005,FALSE,FALSE
BOL,2006,FALSE,FALSE
BOL,2007,TRUE,FALSE
BOL,2008,FALSE,FALSE
BOL,2009,FALSE,FALSE
BOL,2010,FALSE,FALSE
BOL,2011,FALSE,FALSE
BOL,2012,FALSE,FALSE
BOL,2013,FALSE,FALSE
BOL,2014,FALSE,FALSE
BOL,2015,FALSE,FALSE
BOL,2016,FALSE,FALSE
BOL,2017,FALSE,FALSE
BOL,2018,FALSE,FALSE
BOL,2019,FALSE,FALSE
BOL,2020,FALSE,FALSE
BOL,2021,FALSE,FALSE
BOL,2022,FALSE,FALSE
BOL,2023,FALSE,FALSE
BRA,1997,FALSE,FALSE
BRA,1998,FALSE,FALSE
BRA,1999,FALSE,FALSE
BRA,2000,FALSE,FALSE
BRA,2001,FALSE,FALSE
BRA,2002,FALSE,FALSE
BRA,2003,FALSE,FALSE
BRA,2004,FALSE,FALSE
BRA,2005,FALSE,FALSE
BRA,2006,FALSE,FALSE
BRA,2007,FALSE,FALSE
BRA,2008,FALSE,FALSE
BRA,2009,FALSE,FALSE
BRA,2010,FALSE,FALSE
BRA,2011,FALSE,FALSE
BRA,2012,FALSE,FALSE
BRA,2013,FALSE,FALSE
BRA,2014,FALSE,FALSE
BRA,2015,FALSE,FALSE
BRA,2016,FALSE,FALSE
BRA,2017,FALSE,FALSE
BRA,2018,FALSE,FALSE
BRA,2019,FALSE,FALSE
BRA,2020,FALSE,FALSE
BRA,2021,FALSE,FALSE
BRA,2022,FALSE,FALSE
BRA,2023,FALSE,FALSE
BRB,1997,TRUE,FALSE
BRB,1998,TRUE,FALSE
BRB,1999,TRUE,FALSE
BRB,2000,TRUE,FALSE
BRB,2001,TRUE,FALSE
BRB,2002,TRUE,FALSE
BRB,2003,TRUE,FALSE
BRB,2004,TRUE,FALSE
BRB,2005,TRUE,FALSE
BRB,2006,TRUE,FALSE
BRB,2007,TRUE,FALSE
BRB,2008,TRUE,FALSE
BRB,2009,TRUE,FALSE
BRB,2010,TRUE,FALSE
BRB,2011,TRUE,FALSE
BRB,2012,TRUE,FALSE
BRB,2013,TRUE,FALSE
BRB,2014,TRUE,FALSE
BRB,2015,TRUE,FALSE
BRB,2016,TRUE,FALSE
BRB,2017,TRUE,FALSE
BRB,2018,TRUE,FALSE
BRB,2019,TRUE,FALSE
BRB,2020,TRUE,FALSE
BRB,2021,TRUE,FALSE
BRB,2022,TRUE,FALSE
BRB,2023,TRUE,FALSE
BRN,1997,TRUE,FALSE
BRN,1998,TRUE,FALSE
BRN,1999,TRUE,FALSE
BRN,2000,TRUE,FALSE
BRN,2001,TRUE,FALSE
BRN,2002,TRUE,FALSE
BRN,2003,TRUE,FALSE
BRN,2004,TRUE,FALSE
BRN,2005,TRUE,FALSE
BRN,2006,TRUE,FALSE
BRN,2007,TRUE,FALSE
BRN,2008,TRUE,FALSE
BRN,2009,TRUE,FALSE
BRN,2010,TRUE,FALSE
BRN,2011,TRUE,FALSE
BRN,2012,FALSE,FALSE
BRN,2013,FALSE,FALSE
BRN,2014,FALSE,FALSE
BRN,2015,FALSE,FALSE
BRN,2016,FALSE,FALSE
BRN,2017,FALSE,FALSE
BRN,2018,FALSE,FALSE
BRN,2019,FALSE,FALSE
BRN,2020,FALSE,FALSE
BRN,2021,FALSE,FALSE
BRN,2022,FALSE,FALSE
BRN,2023,FALSE,FALSE
BTN,1997,TRUE,FALSE
BTN,1998,TRUE,FALSE
BTN,1999,TRUE,FALSE
BTN,2000,TRUE,FALSE
BTN,2001,TRUE,FALSE
BTN,2002,TRUE,FALSE
BTN,2003,TRUE,FALSE
BTN,2004,TRUE,FALSE
BTN,2005,TRUE,FALSE
BTN,2006,TRUE,FALSE
BTN,2007,TRUE,FALSE
BTN,2008,TRUE,FALSE
BTN,2009,TRUE,FALSE
BTN,2010,TRUE,FALSE
BTN,2011,TRUE,FALSE
BTN,2012,TRUE,FALSE
BTN,2013,TRUE,FALSE
BTN,2014,TRUE,FALSE
BTN,2015,TRUE,FALSE
BTN,2016,TRUE,FALSE
BTN,2017,TRUE,FALSE
BTN,2018,TRUE,FALSE
BTN,2019,TRUE,FALSE
BTN,2020,TRUE,FALSE
BTN,2021,TRUE,FALSE
BTN,2022,TRUE,FALSE
BTN,2023,TRUE,FALSE
BWA,1997,FALSE,FALSE
BWA,1998,FALSE,FALSE
BWA,1999,FALSE,FALSE
BWA,2000,FALSE,FALSE
BWA,2001,FALSE,FALSE
BWA,2002,FALSE,FALSE
BWA,2003,FALSE,FALSE
BWA,2004,FALSE,FALSE
BWA,2005,FALSE,FALSE
BWA,2006,FALSE,FALSE
BWA,2007,FALSE,FALSE
BWA,2008,FALSE,FALSE
BWA,2009,FALSE,FALSE
BWA,2010,FALSE,FALSE
BWA,2011,FALSE,FALSE
BWA,2012,FALSE,FALSE
BWA,2013,FALSE,FALSE
BWA,2014,FALSE,FALSE
BWA,2015,FALSE,FALSE
BWA,2016,FALSE,FALSE
BWA,2017,FALSE,FALSE
BWA,2018,FALSE,FALSE
BWA,2019,FALSE,FALSE
BWA,2020,FALSE,FALSE
BWA,2021,FALSE,FALSE
BWA,2022,FALSE,FALSE
BWA,2023,FALSE,FALSE
CAF,1997,TRUE,TRUE
CAF,1998,TRUE,TRUE
CAF,1999,TRUE,TRUE
CAF,2000,TRUE,TRUE
CAF,2001,TRUE,TRUE
CAF,2002,TRUE,TRUE
CAF,2003,TRUE,TRUE
CAF,2004,TRUE,TRUE
CAF,2005,TRUE,TRUE
